scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Diseased Avg,MCMC,0.004342,,0.088038,1.172865,1.172865,1.000000
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Overall Avg,Point Estimate,0.029489,0.091323,0.091323,,0.000000,
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Overall Avg,MCMC,0.016213,,0.090768,1.052218,1.052218,1.000000
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Diseased Avg,Point Estimate,0.029489,0.091323,0.091323,,0.000000,
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Diseased Avg,MCMC,0.016213,,0.090768,1.052218,1.052218,1.000000
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Overall Avg,Point Estimate,0.031415,0.113650,0.113650,,0.000000,
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Overall Avg,MCMC,0.015794,,0.090607,1.049882,1.049882,1.000000
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Diseased Avg,Point Estimate,0.031415,0.113650,0.113650,,0.000000,
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Diseased Avg,MCMC,0.015794,,0.090607,1.049882,1.049882,1.000000
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Overall Avg,Point Estimate,0.040354,0.121813,0.121813,,0.000000,
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Overall Avg,MCMC,0.007760,,0.077889,0.974905,0.974905,1.000000
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Diseased Avg,Point Estimate,0.040354,0.121813,0.121813,,0.000000,
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Diseased Avg,MCMC,0.007760,,0.077889,0.974905,0.974905,1.000000
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Overall Avg,Point Estimate,0.048122,0.157089,0.157089,,0.000000,
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Overall Avg,MCMC,0.006260,,0.084362,1.067025,1.067025,1.000000
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Diseased Avg,Point Estimate,0.048122,0.157089,0.157089,,0.000000,
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Diseased Avg,MCMC,0.006260,,0.084362,1.067025,1.067025,1.000000
